a: a
about: o
above: nad
add: dodat
added: dodano
afraid: bojao
after: nakon
age: dob
air: zrak
alone: sam
already: već
also: također
always: uvijek
am: sam
an: an
and: i
anger: gnjev
angrily: gnjevno
angry: gnjevan
animal: životinja
anything: išta
apple: jabuka
april: travanj
are: su
artist: umjetnik
as: kao
ashamed: sramotan
ask: pitati
asks: pita
assignment: zadatak
assignments: zadataka
at: kod
at/by: kod
august: kolovoz
aunt: tetka
autumn: jesen
avenue: avenija
away: daleko
bad: loša
bag: torba
banana: banana
bananas: banane
bartek: bartek
basic: osnovne
basketball: košarka
be: biti
bear: medvjed
beats: otkucaja
beautiful: lijep
beautifully: lijepo
because: jer
bed: krevet
beer: pivo
before: prije
behind: iza
better: bolje
between: između
bicycle: bicikl
bicycles: bicikala
big: velik
bird: ptica
birds: pticama
black: crn
blonde: plavuša
bloom: cvjetati
blowing: puše
blue: plav
body: tijelo
bone: kost
bones: kosti
book: knjiga
books: knjige
boring: dosadno
bottle: boca
bottles: boce
bought: kupila
bowl: zdjela
boy: dječak
boys: dječaka
brain: mozak
brandy: rakija
brave: hrabar
bread: kruh
breakfast: doručak
bridge: most
bring: donijeti
broken: razbijen/pokvaren
brother: brat
brothers: braća
brown: kestenjast
building: zgrada
bus: autobus
but: ali
butter: maslac
buy: kupiti
buying: kupuje
by: po
can: može
car: auto
careful: oprezan
carries: nosi
carry: nositi
carrying: nosi
cat: mačka
cats: mačaka
center: centra
chair: stolica
change: promijeniti
changing: mijenja
cheerful: veseo
cheese: sir
cherry: višnja
chess: šah
chest: škrinja
chestnut-colored: kestenjast
child: dijete
children: djeca
church: crkva
cinema: kino
circle: krug
cities: gradovima
city: grad
clean: čist
clock: sat
clock/watch: sat
clocks: satova
closed: zatvorena
clothes: odjeća
cloud: oblak
clouds: oblaci
cloudy: oblačno
coat: kaput
coffee: kava
cold: hladan
color: boja
colors: boje
comes: dolazi
comfortable: udobna
compass: kompas
complex: složen
computer: računalo
computers: računala
connect/tie: povezati
connects: povezuje
controls: kontrolira
conversation: razgovor
cook: kuhar
cooking: kuha
country: država
croat: hrvat
croatian: hrvatskim
culture: kulturom
cup: šalica
customer: kupac
cut: rezati
da: da
dance: plesati
dark: taman
daughter: kćer
day: dan
days: dana
december: prosinac
desk: stol
diary: dnevnik
did: činio
didn't: nije
difficult: teško
dinner: večera
discount: popust
dish: jelo
do: činiti/raditi
do/make: činiti/raditi
doctor: doktor
documents: dokumente
does: radi
dog: pas
dogs: pasa
dollar: dolar
dollars: dolara
don't: nemam
door: vrata
doors: vrata
dot: točka
down: dolje
draw: crtati
drawer: ladica
drawing: crtanje
dream: san
dress: haljina
drink: piti
drinking: pije
drinks: pije
driver: vozač
drives: vozi
dry: suho
dumpling: okruglica
each: svaki
ear: uho
earth: zemlja
east: istok
eastern: istočna
eastward: istočno
eat: jesti
eating: jede
eats: jede
egg: jaje
eggs: jaja
eight: osam
eighteen: osamnaest
eighth: osmi
eighty: osamdeset
eleven: jedanaest
eleventh: jedanaestoj
emotion: emocija
empty: prazna
end: kraj
energy: energije
engineer: inženjer
england: Engleska
english: engleskim
englishman: englez
envy: zavist
evening: večer
every: svaki
everything: sve
excuse: oprostite
expensive: skupo
eye: oko
eyes: oči
face: lice
fall: padati
falling: padajuće
family: obitelj
far: daleko
fast: brz
fat: debeo
father: otac
favorite: omiljeni
fear: strah
february: veljača
feel: osjećati
feels: osjeća
feet: stope
female: žen
field: polje
fields: polja
fifteen: petnaest
fifth: peti
fifty: pedeset
figure: figura
figures: figure
filled: napunjena
film: film
find: naći
finger: prst
first: prvi
fish: riba
five: pet
flame: plamenik
floor: pod
flower: cvijet
flowers: cvijeće
flows: teče
food: hrana
foolish: glup
foot: stopalo
football: nogomet
footwear: obuća
for: za
forest: šuma
fork: vilica
forks: vilice
forty: četrdeset
fountain: fontana
four: četiri
fourteen: četrnaest
fourth: četvrti
frank: franak
fresh: svjež
friday: petak
friend: prijatelj
friends: prijatelji
frightened: prestrašen
frog: žaba
from: iz
frost: mraz
frying: tava
full: pun
game: igra
german: nijemac
germany: njemačkoj
gift: dar
girl: djevojka
give: dati
gives: daje
glass: staklo
glove: rukavica
gloves: rukavice
go: ići
go/drive: ići
god: bogom
goes: ide
going: ide
gone: otišao
good: dobar
granddaughter: unuka
grandfather: djed
grandmother: baka
grandson: unuk
grapes: grožđe
grass: trava
green: zelen
greener: zeleniji
greet: pozdravi
greeting: pozdrav
greetings: pozdravi
grey: siv
ground: zemlja
group: grupom
grow: rasti
grows: raste
guitar: gitaru
had: imao
hair: kosa
hand: ruka
hands: ruke
hang: visjeti
hangs: visi
has: ima
hat: kapa
have: imati
having: ima
he: on
he/she/it: on/ona/ono
head: glava
health: zdravlje
healthy: zdrav
healthy/hello: zdrav/bok
hear: čuti
hears: čuje
heart: srce
heat: grijati
heats: grije
heavy: težak
hello: zdravo
help: pomagati
helped: pomogla
helps: pomaže
her: njezina
here: ovdje
hide: skrivati
hides: skriva
high: visok
him: mu
himself: sebi
his: njegov
hockey: hokej
hold: držati
holds: drži
home: dom
honduras: honduras
horse: konj
hot: vruć
hotel: hotel
hour: sat
house: kuća
houses: domova
how: kako
hundred: sto
hundredth: stoti
hurt: boljeti
hurts: boli
i: ja
i'm: sam
if: ako
important: važan
in: u
ink: tinta
inside: iznutra
interesting: zanimljiv
into: u
is: je
isn't: nije
it: to
january: siječanj
jealous: zavidno
joy: radost
joyful: radostan
joyfully: radosno
juice: sok
july: srpanj
june: lipanj
just: samo
kind: vrsta
kitchen: kuhinja
knife: nož
knives: noževi
know: znati
known: zna
knows: zna
lake: jezeru
lamp: lampa
landscape: krajolik
language: jezik
languages: jezici
larger: veći
last: zadnji
late: prekasno
laugh: smijati
laughs: smije
lazy: lijen
lead: voditi
leads: vodi
leaf: list
learn: učiti
learning: uči
leaves: lišće
left: lijevo
leg: noga
legs: noge
lemon: limun
less: manje
let's: idemo
letters: pisma
library: biblioteka
lie: ležati
lies: leži
light: svjetlo
like: voljeti/sviđati
likes: voli
limit: ograničena
limited: ograničena
line: linija
listen: slušati
listening: slušaju
live: živjeti
lives: živi
long: dug
looking: gleda
lot: mnogo
louder: glasnije
love: ljubav
love/like: voljeti/sviđati
lunch: ručak
lying: leži
made: napravljen
makes: čini
male: muš
man: čovjek
many: mnogo
map: karta
march: ožujak
market: tržnica
mass: mase
mathematics: matematika
may: svibanj
maybe: možda
maybe/can: možda
me: mene
mean: znači
meat: meso
melon: dinja
